Hash: 5360799197207651307, From: 62, To: 45, Side: 0
Hash: 5361209167613602651, From: 62, To: 45, Side: 0
Hash: 5390642264277547338, From: 28, To: 35, Side: 0
Hash: 5473739398960643506, From: 6, To: 21, Side: 0
Hash: 5487929408458063476, From: 51, To: 35, Side: 0
Hash: 5487968337047447751, From: 42, To: 36, Side: 0
Hash: 5541758714684455283, From: 61, To: 52, Side: 0
Hash: 5548560092168803743, From: 62, To: 45, Side: 0
Hash: 5552490545224500671, From: 45, To: 35, Side: 0
Hash: 5570206658505695633, From: 54, To: 46, Side: 0
Hash: 5593847002329878286, From: 61, To: 25, Side: 0
Hash: 5599770232183652703, From: 51, To: 35, Side: 0
Hash: 5623137133146859983, From: 51, To: 35, Side: 0
Hash: 5667851983733011294, From: 35, To: 26, Side: 0
Hash: 5670576560109913960, From: 50, To: 34, Side: 0
Hash: 5683055792608084082, From: 61, To: 52, Side: 0
Hash: 5710700016779550642, From: 62, To: 45, Side: 0
Hash: 5761907339293231986, From: 51, To: 35, Side: 0
Hash: 5763516689634495348, From: 34, To: 27, Side: 0
Hash: 5812683079842986116, From: 62, To: 45, Side: 0
Hash: 5838508908006475066, From: 1, To: 18, Side: 0
Hash: 5873876390734590509, From: 51, To: 43, Side: 0
Hash: 5918763811168352916, From: 52, To: 44, Side: 0
Hash: 6089872354536207106, From: 35, To: 26, Side: 0
Hash: 6101123037781632104, From: 34, To: 27, Side: 0
Hash: 6145661918050011266, From: 52, To: 36, Side: 0
Hash: 6163937439586571408, From: 13, To: 29, Side: 0
Hash: 6237238529554674454, From: 57, To: 51, Side: 0
Hash: 6260555076411272771, From: 62, To: 45, Side: 0
Hash: 6270057742663828137, From: 34, To: 27, Side: 0
Hash: 6355298400582725032, From: 50, To: 34, Side: 0
Hash: 6421741655904952904, From: 6, To: 21, Side: 0
Hash: 6447905894824401877, From: 51, To: 35, Side: 0
Hash: 6451384066981181208, From: 35, To: 26, Side: 0
Hash: 6552705747106592467, From: 59, To: 32, Side: 0
Hash: 6600684017424639111, From: 57, To: 42, Side: 0
Hash: 6620255150954935608, From: 59, To: 52, Side: 0
Hash: 6675647825586574675, From: 50, To: 34, Side: 0
Hash: 6701729828992558241, From: 61, To: 34, Side: 0
Hash: 6740002179122289399, From: 61, To: 52, Side: 0
Hash: 6742733665714805342, From: 49, To: 42, Side: 0
Hash: 6905355988965978972, From: 51, To: 42, Side: 0
Hash: 6992936057975474742, From: 45, To: 35, Side: 0
Hash: 7002764296924458528, From: 35, To: 26, Side: 0
Hash: 7064759014788446779, From: 5, To: 14, Side: 0
Hash: 7069348678450119248, From: 45, To: 35, Side: 0
Hash: 7088762656752488445, From: 5, To: 26, Side: 0
Hash: 7125873822724765647, From: 61, To: 25, Side: 0
Hash: 7183105659433841020, From: 52, To: 44, Side: 0
Hash: 7219472000159610327, From: 52, To: 44, Side: 0
Hash: 7225876254400522148, From: 5, To: 14, Side: 0
Hash: 7226423817265456851, From: 45, To: 28, Side: 0
Hash: 7233469569182160175, From: 62, To: 45, Side: 0
Hash: 7243433934633156752, From: 36, To: 27, Side: 0
Hash: 7250131987234590592, From: 51, To: 35, Side: 0
Hash: 7261123700141598972, From: 6, To: 21, Side: 0
Hash: 7262946195003642565, From: 42, To: 35, Side: 0
Hash: 7280490906191917359, From: 34, To: 27, Side: 0
Hash: 7312061898119496618, From: 50, To: 42, Side: 0
Hash: 7317969765981651874, From: 35, To: 28, Side: 0
Hash: 7337130779456773797, From: 11, To: 19, Side: 0
Hash: 7355196587835799929, From: 26, To: 35, Side: 0
Hash: 7360039516447658585, From: 61, To: 54, Side: 0
Hash: 7361147336226856708, From: 50, To: 34, Side: 0
Hash: 7384435778510290940, From: 34, To: 27, Side: 0
Hash: 7389037531307743464, From: 44, To: 35, Side: 0
Hash: 7390555113927586211, From: 51, To: 35, Side: 0
Hash: 7394175846806252099, From: 61, To: 34, Side: 0
Hash: 7404554469679993179, From: 54, To: 46, Side: 0
Hash: 7405047843949621659, From: 35, To: 26, Side: 0
Hash: 7405072504209715992, From: 61, To: 54, Side: 0
Hash: 7420776259149176542, From: 58, To: 37, Side: 0
Hash: 7422085996106224140, From: 3, To: 12, Side: 0
Hash: 7430955778240413105, From: 52, To: 44, Side: 0
Hash: 7443536731568210261, From: 1, To: 18, Side: 0
Hash: 7444138067303637220, From: 62, To: 45, Side: 0
Hash: 7461652873547548646, From: 51, To: 35, Side: 0
Hash: 7497751216522579452, From: 62, To: 45, Side: 0
Hash: 7498479623814535005, From: 57, To: 42, Side: 0
Hash: 7500960753594456332, From: 49, To: 41, Side: 0
Hash: 7501425144779785133, From: 51, To: 43, Side: 0
Hash: 7502580095279299020, From: 50, To: 42, Side: 0
Hash: 7513196542778065999, From: 44, To: 35, Side: 0
Hash: 7515231760161375502, From: 45, To: 35, Side: 0
Hash: 7547959263497914545, From: 57, To: 51, Side: 0
Hash: 7554463508765484526, From: 52, To: 36, Side: 0
Hash: 7559030903969088419, From: 62, To: 45, Side: 0
Hash: 7626088252744863852, From: 34, To: 13, Side: 0
Hash: 7633338474954596630, From: 52, To: 36, Side: 0
Hash: 7635896646917762887, From: 52, To: 36, Side: 0
Hash: 7636567814841415142, From: 51, To: 35, Side: 0
Hash: 7649866955599747714, From: 57, To: 42, Side: 0
Hash: 7654047682592993728, From: 51, To: 43, Side: 0
Hash: 7655835805664482515, From: 62, To: 45, Side: 0
Hash: 7658128991470667735, From: 50, To: 34, Side: 0
Hash: 7691785222302743992, From: 62, To: 45, Side: 0
Hash: 7695506355869051221, From: 5, To: 14, Side: 0
Hash: 7714171075617780138, From: 35, To: 27, Side: 0
Hash: 7728884943931711029, From: 40, To: 49, Side: 0
Hash: 7748043515188214734, From: 60, To: 62, Side: 0
Hash: 7748123142588570853, From: 26, To: 35, Side: 0
Hash: 7760363191452771692, From: 51, To: 43, Side: 0
Hash: 7779875922840423365, From: 62, To: 45, Side: 0
Hash: 7792329780266277155, From: 35, To: 26, Side: 0
Hash: 7822367868793779152, From: 11, To: 27, Side: 0
Hash: 7881469241922989531, From: 52, To: 44, Side: 0
Hash: 7895763383101052209, From: 61, To: 54, Side: 0
Hash: 7900606516214558863, From: 51, To: 42, Side: 0
Hash: 7916102868838878156, From: 50, To: 42, Side: 0
Hash: 8036890332784670569, From: 2, To: 29, Side: 0
Hash: 8069113112472988284, From: 45, To: 35, Side: 0
Hash: 8201962677719487662, From: 58, To: 49, Side: 0
Hash: 8301650900882646522, From: 61, To: 34, Side: 0
Hash: 8447733909851541626, From: 51, To: 43, Side: 0
Hash: 8554207001534413721, From: 48, To: 40, Side: 0
Hash: 8616969083380869892, From: 61, To: 52, Side: 0
Hash: 8694739936014223735, From: 3, To: 27, Side: 0
Hash: 8768556147669203206, From: 57, To: 42, Side: 0
Hash: 8858764284588660525, From: 4, To: 6, Side: 0
Hash: 8933547249410896685, From: 52, To: 44, Side: 0
Hash: 9064197169755348588, From: 11, To: 27, Side: 0
Hash: 9067236266724172557, From: 44, To: 35, Side: 0
Hash: 9095349616598212415, From: 50, To: 34, Side: 0
Hash: 9124007186176031199, From: 61, To: 34, Side: 0
Hash: 9165646781612455689, From: 61, To: 43, Side: 0
Hash: 9193326993221167392, From: 42, To: 35, Side: 0
Hash: 9351453741761242669, From: 58, To: 51, Side: 0
Hash: 9465770182687820640, From: 4, To: 6, Side: 0
Hash: 9700423254542614478, From: 59, To: 45, Side: 0
Hash: 9714451788856760244, From: 60, To: 62, Side: 0
Hash: 9926380549403132429, From: 51, To: 35, Side: 0
Hash: 10047647505676279866, From: 13, To: 29, Side: 0
Hash: 10183260275548367149, From: 62, To: 45, Side: 0
Hash: 10190855307613503421, From: 38, To: 45, Side: 0
Hash: 10240257905797373481, From: 62, To: 45, Side: 0
Hash: 10247962117885146953, From: 53, To: 45, Side: 0
Hash: 10302553816740876268, From: 48, To: 40, Side: 0
Hash: 10397818874934473813, From: 6, To: 21, Side: 0
Hash: 10528591095665160528, From: 50, To: 34, Side: 0
Hash: 10575825459340396327, From: 50, To: 34, Side: 0
Hash: 10609873697952170794, From: 55, To: 47, Side: 0
Hash: 10678046274538982304, From: 57, To: 42, Side: 0
Hash: 10686736082142170901, From: 62, To: 52, Side: 0
Hash: 10690890629924915384, From: 57, To: 42, Side: 0
Hash: 10736740303244597282, From: 35, To: 18, Side: 0
Hash: 10739891830283567013, From: 50, To: 34, Side: 0
Hash: 10755402312323343820, From: 50, To: 42, Side: 0
Hash: 10763919833023579827, From: 59, To: 50, Side: 0
Hash: 10803752636820348988, From: 9, To: 25, Side: 0
Hash: 10810224271150155313, From: 57, To: 42, Side: 0
Hash: 10813871537324197984, From: 57, To: 42, Side: 0
Hash: 10834848239636304798, From: 12, To: 20, Side: 0
Hash: 10876285046307063123, From: 51, To: 35, Side: 0
Hash: 10884340032294797041, From: 27, To: 34, Side: 0
Hash: 10923544509154536801, From: 62, To: 45, Side: 0
Hash: 11080887981933245548, From: 9, To: 17, Side: 0
Hash: 11163643877662444223, From: 57, To: 51, Side: 0
Hash: 11236883510031841394, From: 57, To: 51, Side: 0
Hash: 11373162280527176213, From: 61, To: 25, Side: 0
Hash: 11388769491072795733, From: 50, To: 34, Side: 0
Hash: 11454998515624109224, From: 6, To: 21, Side: 0
Hash: 11519480229504811918, From: 61, To: 34, Side: 0
Hash: 11577328672570935535, From: 58, To: 37, Side: 0
Hash: 11668599640874846211, From: 52, To: 36, Side: 0
Hash: 11726126454123945298, From: 20, To: 27, Side: 0
Hash: 11741235188079226314, From: 14, To: 22, Side: 0
Hash: 11956856430766226716, From: 12, To: 28, Side: 0
Hash: 12093428427308927830, From: 61, To: 34, Side: 0
Hash: 12273907535773201195, From: 21, To: 27, Side: 0
Hash: 12511018567222191173, From: 25, To: 18, Side: 0
Hash: 12618568789170144409, From: 5, To: 19, Side: 0
Hash: 12675004652309223656, From: 61, To: 34, Side: 0
Hash: 12683703335124061315, From: 11, To: 28, Side: 0
Hash: 12688561717193881236, From: 5, To: 19, Side: 0
Hash: 12695656394271177862, From: 62, To: 45, Side: 0
Hash: 12710844068608340842, From: 52, To: 44, Side: 0
Hash: 12794013269028386950, From: 57, To: 42, Side: 0
Hash: 12814370470248640469, From: 60, To: 62, Side: 0
Hash: 12819877300444185301, From: 48, To: 40, Side: 0
Hash: 12954384767366457880, From: 51, To: 35, Side: 0
Hash: 13021096845992046388, From: 34, To: 27, Side: 0
Hash: 13053770178055641798, From: 11, To: 27, Side: 0
Hash: 13191754267518407211, From: 5, To: 12, Side: 0
Hash: 13225391416588490589, From: 51, To: 35, Side: 0
Hash: 13254130889048443713, From: 26, To: 35, Side: 0
Hash: 13290425817320478274, From: 57, To: 42, Side: 0
Hash: 13325094930901758942, From: 55, To: 47, Side: 0
Hash: 13325222458728029208, From: 33, To: 51, Side: 0
Hash: 13326973294080849789, From: 8, To: 16, Side: 0
Hash: 13346247741325928118, From: 44, To: 35, Side: 0
Hash: 13408808162282463181, From: 35, To: 41, Side: 0
Hash: 13497591189260253094, From: 60, To: 62, Side: 0
Hash: 13501750890553845958, From: 28, To: 36, Side: 0
Hash: 13614594636684393578, From: 62, To: 45, Side: 0
Hash: 13695341484761815672, From: 61, To: 25, Side: 0
Hash: 13786557676379085497, From: 58, To: 51, Side: 0
Hash: 13788037338611686059, From: 52, To: 36, Side: 0
Hash: 13800004940653884089, From: 52, To: 44, Side: 0
Hash: 13939071260859265551, From: 5, To: 19, Side: 0
Hash: 13996913307446363403, From: 1, To: 18, Side: 0
Hash: 14080255606000518883, From: 21, To: 27, Side: 0
Hash: 14130172093857132485, From: 50, To: 42, Side: 0
Hash: 14450205551872785092, From: 50, To: 34, Side: 0
Hash: 14592391693807886896, From: 21, To: 36, Side: 0
Hash: 14706128700815067241, From: 6, To: 21, Side: 0
Hash: 14730288822476473520, From: 2, To: 29, Side: 0
Hash: 14868275127999863411, From: 37, To: 46, Side: 0
Hash: 14933387791393918184, From: 45, To: 28, Side: 0
Hash: 14994470792539154192, From: 6, To: 21, Side: 0
Hash: 15000261246577554058, From: 4, To: 6, Side: 0
Hash: 15086515298443235693, From: 26, To: 35, Side: 0
Hash: 15151911526503309845, From: 52, To: 44, Side: 0
Hash: 15158396174604053819, From: 14, To: 22, Side: 0
Hash: 15349677526940412640, From: 3, To: 24, Side: 0
Hash: 15362091181526352724, From: 33, To: 42, Side: 0
Hash: 15369556704177398734, From: 38, To: 45, Side: 0
Hash: 15417222018302394504, From: 45, To: 28, Side: 0
Hash: 15426441716275077766, From: 12, To: 28, Side: 0
Hash: 15428626170674253813, From: 50, To: 34, Side: 0
Hash: 15470182424305357713, From: 18, To: 28, Side: 0
Hash: 15473550776561398871, From: 5, To: 19, Side: 0
Hash: 15506481240354897749, From: 10, To: 26, Side: 0
Hash: 15512863352656294796, From: 2, To: 38, Side: 0
Hash: 15525839402673334870, From: 33, To: 24, Side: 0
Hash: 15539673518638960863, From: 2, To: 11, Side: 0
Hash: 15578101919808432639, From: 21, To: 27, Side: 0
Hash: 15633413647089025351, From: 1, To: 18, Side: 0
Hash: 15674740062134382379, From: 1, To: 18, Side: 0
Hash: 15682695450946636884, From: 1, To: 18, Side: 0
Hash: 15707663327101579324, From: 3, To: 10, Side: 0
Hash: 15728044933625018241, From: 44, To: 35, Side: 0
Hash: 15766798916760933398, From: 61, To: 25, Side: 0
Hash: 15769238356749353607, From: 1, To: 18, Side: 0
Hash: 15823602285130567486, From: 21, To: 27, Side: 0
Hash: 15847107958299796030, From: 51, To: 43, Side: 0
Hash: 15851595080680014557, From: 5, To: 14, Side: 0
Hash: 15888898319795278492, From: 8, To: 24, Side: 0
Hash: 15915092656035077183, From: 25, To: 52, Side: 0
Hash: 15920869103948313320, From: 51, To: 43, Side: 0
Hash: 15929122954298155357, From: 2, To: 20, Side: 0
Hash: 15946853434237619875, From: 62, To: 45, Side: 0
Hash: 15966626772365519426, From: 25, To: 52, Side: 0
Hash: 16051037703170807985, From: 12, To: 28, Side: 0
Hash: 16112003637288385690, From: 59, To: 35, Side: 0
Hash: 16503031569631373701, From: 10, To: 18, Side: 0
Hash: 16561638701068654877, From: 58, To: 30, Side: 0
Hash: 16625115812688755069, From: 28, To: 22, Side: 0
Hash: 16643724204159403960, From: 61, To: 54, Side: 0
Hash: 16745425007555696044, From: 51, To: 43, Side: 0
Hash: 16830653144754683064, From: 21, To: 27, Side: 0
Hash: 16925032128446755435, From: 21, To: 27, Side: 0
Hash: 17072420127714892214, From: 45, To: 51, Side: 0
Hash: 17079146866823443802, From: 58, To: 37, Side: 0
Hash: 17091999079865997556, From: 25, To: 18, Side: 0
Hash: 17251703925969125582, From: 50, To: 34, Side: 0
Hash: 17304109306582274246, From: 59, To: 50, Side: 0
Hash: 17321591301094601411, From: 62, To: 45, Side: 0
Hash: 17326264429994777334, From: 50, To: 34, Side: 0
Hash: 17331038999654500901, From: 8, To: 16, Side: 0
Hash: 17337213030550515378, From: 5, To: 19, Side: 0
Hash: 17362286110149398849, From: 61, To: 54, Side: 0
Hash: 17387978713814377240, From: 25, To: 52, Side: 0
Hash: 17489378924620614532, From: 21, To: 27, Side: 0
Hash: 17511724374685421538, From: 12, To: 20, Side: 0
Hash: 17532494056128786843, From: 18, To: 28, Side: 0
Hash: 17554453599791976524, From: 1, To: 18, Side: 0
Hash: 17573417199612007130, From: 45, To: 28, Side: 0
Hash: 17596383828218856672, From: 62, To: 45, Side: 0
Hash: 17632474053195410300, From: 51, To: 35, Side: 0
Hash: 17638637141766649696, From: 12, To: 20, Side: 0
Hash: 17648751832970252377, From: 5, To: 14, Side: 0
Hash: 17716659424719324818, From: 61, To: 54, Side: 0
Hash: 17806143205410749028, From: 4, To: 6, Side: 0
Hash: 17843218434630949723, From: 62, To: 45, Side: 0
Hash: 17856933061714271271, From: 4, To: 6, Side: 0
Hash: 17914821878459734289, From: 62, To: 52, Side: 0
Hash: 17942495476626498921, From: 12, To: 28, Side: 0
Hash: 18029941439797521871, From: 44, To: 36, Side: 0
Hash: 18031080620554629112, From: 2, To: 11, Side: 0
Hash: 18048483867599144525, From: 57, To: 42, Side: 0
Hash: 18049034985631055874, From: 6, To: 21, Side: 0
Hash: 18065533042256764942, From: 61, To: 34, Side: 0
Hash: 18084412842707847418, From: 18, To: 35, Side: 0
Hash: 18118643533981555077, From: 2, To: 11, Side: 0
Hash: 18201397491651086295, From: 55, To: 47, Side: 0
Hash: 18255616604636511312, From: 25, To: 18, Side: 0
Hash: 18305759373263960289, From: 3, To: 24, Side: 0
Hash: 18339899312940429043, From: 4, To: 6, Side: 0
Hash: 18390187064519521273, From: 62, To: 45, Side: 0
Hash: 18406782444978208334, From: 57, To: 42, Side: 0
